# s_m; t_s; v_mps; beta_rad; omega_z_radps; n_m; xi_rad
0.0; 0.000; 8.49; 0.00021; -0.01280; -0.28949; -0.04110
0.2; 0.024; 8.50; 0.00022; -0.01351; -0.29774; -0.04176
0.4; 0.047; 8.50; 0.00024; -0.01441; -0.30611; -0.04232
0.6; 0.071; 8.50; 0.00025; -0.01530; -0.31458; -0.04277
0.8; 0.094; 8.50; 0.00027; -0.01617; -0.32312; -0.04310
1.0; 0.118; 8.50; 0.00029; -0.01703; -0.33172; -0.04332
1.2; 0.141; 8.50; 0.00030; -0.01786; -0.34033; -0.04341
1.4; 0.165; 8.50; 0.00032; -0.01862; -0.34895; -0.04339
1.6; 0.188; 8.50; 0.00033; -0.01930; -0.35755; -0.04324
1.8; 0.212; 8.50; 0.00035; -0.01985; -0.36610; -0.04297
2.0; 0.235; 8.50; 0.00036; -0.02025; -0.37458; -0.04258
2.2; 0.259; 8.50; 0.00037; -0.02045; -0.38296; -0.04205
2.4; 0.283; 8.50; 0.00038; -0.02040; -0.39122; -0.04139
2.6; 0.306; 8.50; 0.00038; -0.02005; -0.39932; -0.04059
2.8; 0.330; 8.50; 0.00038; -0.01935; -0.40726; -0.03964
3.0; 0.353; 8.50; 0.00037; -0.01823; -0.41498; -0.03853
3.2; 0.376; 8.50; 0.00036; -0.01664; -0.42246; -0.03726
3.4; 0.400; 8.50; 0.00034; -0.01450; -0.42968; -0.03581
3.6; 0.423; 8.50; 0.00031; -0.01176; -0.43659; -0.03418
3.8; 0.447; 8.50; 0.00027; -0.00835; -0.44316; -0.03234
4.0; 0.470; 8.50; 0.00022; -0.00420; -0.44935; -0.03029
4.2; 0.494; 8.50; 0.00015; 0.00074; -0.45512; -0.02800
4.4; 0.517; 8.50; 0.00007; 0.00651; -0.46041; -0.02546
4.6; 0.540; 8.50; -0.00002; 0.01315; -0.46519; -0.02265
4.8; 0.564; 8.50; -0.00012; 0.02068; -0.46940; -0.01955
5.0; 0.587; 8.50; -0.00025; 0.02909; -0.47299; -0.01615
5.2; 0.611; 8.50; -0.00039; 0.03835; -0.47589; -0.01242
5.4; 0.634; 8.50; -0.00054; 0.04840; -0.47805; -0.00835
5.6; 0.657; 8.50; -0.00071; 0.05913; -0.47940; -0.00392
5.8; 0.681; 8.50; -0.00090; 0.07042; -0.47987; 0.00087
6.0; 0.704; 8.50; -0.00110; 0.08207; -0.47938; 0.00604
6.2; 0.727; 8.50; -0.00130; 0.09386; -0.47788; 0.01159
6.4; 0.751; 8.50; -0.00152; 0.10553; -0.47528; 0.01751
6.6; 0.774; 8.50; -0.00174; 0.11682; -0.47151; 0.02380
6.8; 0.797; 8.50; -0.00196; 0.12747; -0.46650; 0.03044
7.0; 0.821; 8.50; -0.00217; 0.13734; -0.46019; 0.03741
7.2; 0.844; 8.50; -0.00237; 0.14653; -0.45250; 0.04467
7.4; 0.868; 8.50; -0.00256; 0.15554; -0.44340; 0.05194
7.6; 0.891; 8.50; -0.00274; 0.16566; -0.43291; 0.05856
7.8; 0.914; 8.48; -0.00302; 0.18515; -0.42123; 0.06389
8.0; 0.938; 8.27; -0.00431; 0.27311; -0.40865; 0.06865
8.2; 0.963; 8.06; -0.00605; 0.34234; -0.39537; 0.07331
8.4; 0.989; 7.85; -0.00781; 0.42087; -0.38145; 0.07795
8.6; 1.015; 7.65; -0.00959; 0.51204; -0.36687; 0.08295
8.8; 1.042; 7.45; -0.01142; 0.61184; -0.35150; 0.08867
9.0; 1.070; 7.27; -0.01332; 0.71561; -0.33520; 0.09533
9.2; 1.098; 7.09; -0.01529; 0.81918; -0.31776; 0.10304
9.4; 1.128; 6.93; -0.01733; 0.91919; -0.29900; 0.11176
9.6; 1.158; 6.77; -0.01945; 1.01310; -0.27873; 0.12134
9.8; 1.189; 6.63; -0.02164; 1.09926; -0.25681; 0.13156
10.0; 1.221; 6.49; -0.02392; 1.17693; -0.23316; 0.14212
10.2; 1.253; 6.36; -0.02627; 1.24614; -0.20777; 0.15269
10.4; 1.286; 6.24; -0.02869; 1.30754; -0.18073; 0.16291
10.6; 1.319; 6.13; -0.03117; 1.36205; -0.15216; 0.17248
10.8; 1.354; 6.02; -0.03370; 1.41051; -0.12229; 0.18112
11.0; 1.388; 5.92; -0.03628; 1.45336; -0.09139; 0.18858
11.2; 1.423; 5.82; -0.03890; 1.49029; -0.05977; 0.19475
11.4; 1.459; 5.72; -0.04152; 1.52089; -0.02775; 0.19989
11.6; 1.495; 5.62; -0.04438; 1.55475; 0.00450; 0.20493
11.8; 1.531; 5.53; -0.04691; 1.56910; 0.03698; 0.21025
12.0; 1.567; 5.47; -0.04752; 1.56934; 0.06994; 0.21523
12.2; 1.603; 5.44; -0.04630; 1.56904; 0.10353; 0.21889
12.4; 1.640; 5.41; -0.04404; 1.56834; 0.13766; 0.22042
12.6; 1.676; 5.39; -0.04147; 1.56868; 0.17189; 0.21910
12.8; 1.711; 5.37; -0.03873; 1.56888; 0.20561; 0.21431
13.0; 1.746; 5.35; -0.03574; 1.56881; 0.23807; 0.20540
13.2; 1.781; 5.33; -0.03249; 1.56903; 0.26848; 0.19171
13.4; 1.815; 5.31; -0.02908; 1.56922; 0.29596; 0.17263
13.6; 1.849; 5.30; -0.02561; 1.56924; 0.31959; 0.14764
13.8; 1.881; 5.30; -0.02222; 1.56918; 0.33845; 0.11643
14.0; 1.914; 5.30; -0.01904; 1.56907; 0.35166; 0.07898
14.2; 1.945; 5.30; -0.01618; 1.56890; 0.35840; 0.03565
14.4; 1.976; 5.30; -0.01371; 1.56868; 0.35790; -0.01274
14.6; 2.007; 5.31; -0.01166; 1.56840; 0.34949; -0.06477
14.8; 2.038; 5.33; -0.01004; 1.56806; 0.33256; -0.11758
15.0; 2.070; 5.34; -0.00882; 1.56759; 0.30677; -0.16611
15.2; 2.103; 5.36; -0.00798; 1.56683; 0.27247; -0.20514
15.4; 2.138; 5.38; -0.00748; 1.56457; 0.23090; -0.23234
15.6; 2.173; 5.40; -0.00725; 1.55615; 0.18389; -0.24816
15.8; 2.210; 5.42; -0.00706; 1.53532; 0.13350; -0.25422
16.0; 2.246; 5.45; -0.00665; 1.49911; 0.08168; -0.25252
16.2; 2.284; 5.49; -0.00583; 1.44717; 0.03012; -0.24514
16.4; 2.321; 5.53; -0.00459; 1.38159; -0.01985; -0.23397
16.6; 2.358; 5.59; -0.00314; 1.30733; -0.06734; -0.22060
16.8; 2.395; 5.66; -0.00182; 1.23021; -0.11186; -0.20617
17.0; 2.432; 5.74; -0.00089; 1.15356; -0.15322; -0.19146
17.2; 2.468; 5.82; -0.00039; 1.07755; -0.19145; -0.17701
17.4; 2.503; 5.92; -0.00025; 1.00130; -0.22669; -0.16324
17.6; 2.538; 6.02; -0.00034; 0.92443; -0.25917; -0.15046
17.8; 2.572; 6.13; -0.00056; 0.84730; -0.28914; -0.13892
18.0; 2.605; 6.25; -0.00083; 0.77067; -0.31690; -0.12877
18.2; 2.638; 6.37; -0.00111; 0.69535; -0.34273; -0.12008
18.4; 2.670; 6.49; -0.00138; 0.62206; -0.36695; -0.11286
18.6; 2.702; 6.62; -0.00161; 0.55141; -0.38986; -0.10705
18.8; 2.732; 6.75; -0.00178; 0.48389; -0.41171; -0.10253
19.0; 2.762; 6.88; -0.00191; 0.41996; -0.43275; -0.09907
19.2; 2.792; 7.02; -0.00197; 0.36006; -0.45313; -0.09632
19.4; 2.821; 7.15; -0.00198; 0.30465; -0.47292; -0.09385
19.6; 2.849; 7.29; -0.00193; 0.25424; -0.49213; -0.09125
19.8; 2.876; 7.43; -0.00184; 0.20941; -0.51066; -0.08813
20.0; 2.903; 7.56; -0.00171; 0.17075; -0.52836; -0.08411
20.2; 2.929; 7.70; -0.00156; 0.13882; -0.54499; -0.07886
20.4; 2.955; 7.83; -0.00140; 0.11394; -0.56029; -0.07207
20.6; 2.980; 7.96; -0.00125; 0.09604; -0.57393; -0.06350
20.8; 3.004; 8.09; -0.00112; 0.08436; -0.58558; -0.05300
21.0; 3.028; 8.21; -0.00103; 0.07806; -0.59489; -0.04047
21.2; 3.051; 8.33; -0.00099; 0.07741; -0.60150; -0.02589
21.4; 3.074; 8.44; -0.00099; 0.08469; -0.60508; -0.00926
21.6; 3.097; 8.50; -0.00114; 0.10841; -0.60529; 0.00950
21.8; 3.119; 8.50; -0.00153; 0.15383; -0.60177; 0.03060
22.0; 3.141; 8.50; -0.00213; 0.21079; -0.59416; 0.05408
22.2; 3.163; 8.50; -0.00296; 0.28476; -0.58204; 0.07960
22.4; 3.186; 8.50; -0.00408; 0.37499; -0.56508; 0.10600
22.6; 3.208; 8.50; -0.00556; 0.47717; -0.54313; 0.13181
22.8; 3.231; 8.50; -0.00745; 0.58553; -0.51628; 0.15638
23.0; 3.255; 8.50; -0.00974; 0.69352; -0.48473; 0.17989
23.2; 3.278; 8.50; -0.01243; 0.79474; -0.44869; 0.20253
23.4; 3.302; 8.50; -0.01546; 0.88374; -0.40837; 0.22431
23.6; 3.326; 8.50; -0.01876; 0.95688; -0.36399; 0.24502
23.8; 3.351; 8.50; -0.02222; 1.01276; -0.31586; 0.26428
24.0; 3.375; 8.50; -0.02571; 1.05190; -0.26438; 0.28162
24.2; 3.400; 8.50; -0.02908; 1.07597; -0.21006; 0.29651
24.4; 3.425; 8.50; -0.03222; 1.08757; -0.15352; 0.30836
24.6; 3.450; 8.50; -0.03502; 1.08996; -0.09554; 0.31658
24.8; 3.474; 8.50; -0.03744; 1.08622; -0.03702; 0.32054
25.0; 3.499; 8.50; -0.03944; 1.07886; 0.02098; 0.31961
25.2; 3.523; 8.50; -0.04105; 1.06981; 0.07729; 0.31310
25.4; 3.547; 8.50; -0.04229; 1.06053; 0.13059; 0.30032
25.6; 3.570; 8.50; -0.04322; 1.05201; 0.17954; 0.28055
25.8; 3.593; 8.50; -0.04389; 1.04481; 0.22273; 0.25313
26.0; 3.616; 8.50; -0.04436; 1.03910; 0.25884; 0.21756
26.2; 3.637; 8.50; -0.04468; 1.03479; 0.28675; 0.17441
26.4; 3.659; 8.50; -0.04489; 1.03161; 0.30582; 0.12659
26.6; 3.680; 8.50; -0.04503; 1.02926; 0.31606; 0.07829
26.8; 3.701; 8.49; -0.04511; 1.02750; 0.31784; 0.03247
27.0; 3.722; 8.49; -0.04515; 1.02618; 0.31172; -0.00950
27.2; 3.743; 8.49; -0.04516; 1.02522; 0.29827; -0.04695
27.4; 3.765; 8.49; -0.04515; 1.02466; 0.27815; -0.07946
27.6; 3.787; 8.49; -0.04513; 1.02450; 0.25208; -0.10684
27.8; 3.810; 8.49; -0.04510; 1.02424; 0.22085; -0.12908
28.0; 3.833; 8.49; -0.04507; 1.02338; 0.18533; -0.14633
28.2; 3.856; 8.49; -0.04501; 1.02205; 0.14641; -0.15881
28.4; 3.880; 8.49; -0.04493; 1.02053; 0.10503; -0.16680
28.6; 3.903; 8.49; -0.04482; 1.01903; 0.06209; -0.17061
28.8; 3.927; 8.49; -0.04468; 1.01766; 0.01850; -0.17053
29.0; 3.952; 8.49; -0.04453; 1.01643; -0.02488; -0.16681
29.2; 3.976; 8.49; -0.04436; 1.01532; -0.06726; -0.15972
29.4; 4.000; 8.49; -0.04419; 1.01428; -0.10787; -0.14945
29.6; 4.024; 8.49; -0.04401; 1.01328; -0.14602; -0.13633
29.8; 4.048; 8.49; -0.04383; 1.01227; -0.18119; -0.12111
30.0; 4.072; 8.49; -0.04364; 1.01124; -0.21306; -0.10491
30.2; 4.096; 8.50; -0.04346; 1.01013; -0.24154; -0.08849
30.4; 4.120; 8.50; -0.04327; 1.00890; -0.26665; -0.07209
30.6; 4.144; 8.50; -0.04308; 1.00742; -0.28838; -0.05571
30.8; 4.168; 8.50; -0.04288; 1.00547; -0.30674; -0.03935
31.0; 4.192; 8.50; -0.04267; 1.00272; -0.32173; -0.02302
31.2; 4.216; 8.50; -0.04242; 0.99864; -0.33337; -0.00672
31.4; 4.240; 8.50; -0.04210; 0.99251; -0.34166; 0.00950
31.6; 4.263; 8.50; -0.04169; 0.98338; -0.34659; 0.02560
31.8; 4.287; 8.50; -0.04113; 0.97003; -0.34818; 0.04150
32.0; 4.311; 8.50; -0.04036; 0.95101; -0.34645; 0.05709
32.2; 4.335; 8.50; -0.03928; 0.92470; -0.34142; 0.07223
32.4; 4.359; 8.50; -0.03781; 0.88945; -0.33312; 0.08673
32.6; 4.383; 8.50; -0.03585; 0.84391; -0.32163; 0.10037
32.8; 4.406; 8.50; -0.03336; 0.78748; -0.30703; 0.11289
33.0; 4.430; 8.50; -0.03032; 0.72103; -0.28947; 0.12406
33.2; 4.454; 8.50; -0.02683; 0.64752; -0.26914; 0.13367
33.4; 4.478; 8.50; -0.02311; 0.57179; -0.24630; 0.14160
33.6; 4.502; 8.50; -0.01943; 0.49912; -0.22126; 0.14786
33.8; 4.526; 8.50; -0.01607; 0.43332; -0.19441; 0.15259
34.0; 4.550; 8.50; -0.01318; 0.37570; -0.16612; 0.15596
34.2; 4.574; 8.50; -0.01082; 0.32562; -0.13674; 0.15817
34.4; 4.598; 8.50; -0.00892; 0.28161; -0.10661; 0.15939
34.6; 4.622; 8.50; -0.00740; 0.24203; -0.07600; 0.15975
34.8; 4.645; 8.50; -0.00618; 0.20550; -0.04514; 0.15934
35.0; 4.669; 8.50; -0.00516; 0.17082; -0.01424; 0.15821
35.2; 4.693; 8.50; -0.00428; 0.13700; 0.01652; 0.15641
35.4; 4.717; 8.50; -0.00350; 0.10315; 0.04699; 0.15394
35.6; 4.741; 8.50; -0.00278; 0.06846; 0.07702; 0.15079
35.8; 4.764; 8.50; -0.00208; 0.03214; 0.10646; 0.14694
36.0; 4.788; 8.50; -0.00139; -0.00656; 0.13515; 0.14234
36.2; 4.812; 8.50; -0.00068; -0.04838; 0.16296; 0.13692
36.4; 4.835; 8.50; 0.00007; -0.09401; 0.18971; 0.13061
36.6; 4.859; 8.50; 0.00087; -0.14408; 0.21523; 0.12330
36.8; 4.883; 8.50; 0.00174; -0.19911; 0.23932; 0.11489
37.0; 4.906; 8.50; 0.00270; -0.25950; 0.26177; 0.10530
37.2; 4.930; 8.50; 0.00377; -0.32542; 0.28238; 0.09456
37.4; 4.953; 8.50; 0.00498; -0.39678; 0.30096; 0.08286
37.6; 4.977; 8.50; 0.00635; -0.47309; 0.31740; 0.07032
37.8; 5.000; 8.50; 0.00790; -0.55334; 0.33154; 0.05691
